feature,importance_mean,importance_std
checking_status,0.09973809523809524,0.027793466091324662
duration,0.0673095238095238,0.012981235367072281
credit_amount,0.0379761904761905,0.015361202859411201
credit_history,0.027988095238095256,0.009839622397950052
purpose,0.023238095238095204,0.007473270585401707
age,0.017249999999999998,0.007994373375626983
own_telephone,0.009535714285714281,0.003464040246580858
installment_commitment,0.008011904761904743,0.006063966002004743
other_payment_plans,0.007476190476190481,0.004857317924015875
other_parties,0.0071428571428571504,0.0036499308849418793
residence_since,0.006166666666666687,0.002291040421544764
employment,0.005785714285714283,0.004622114838278221
housing,0.00573809523809522,0.004691986703841454
savings_status,0.004690476190476201,0.00626131628594603
job,0.0032142857142857363,0.003963409741629721
personal_status,0.0022738095238095113,0.005306493369644984
foreign_worker,0.0002142857142856891,0.0009202927661946556
existing_credits,-0.0003095238095237818,0.002387016088129402
num_dependents,-0.0018452380952380775,0.0015542440616501405
property_magnitude,-0.005988095238095237,0.007659500125783031
